address_key,address_line1,city,state,postal_code,country_name,matched_address,match_indicator,match_type,longitude,latitude,tiger_line_id,tiger_line_side,census_state_fips,census_county_fips,census_tract,census_block,geocoded_date,source
1 ROBERT WOOD JOHNSON PLACE|NEW BRUNSWICK|NJ|8901.0|USA,1 Robert Wood Johnson Place,NEW BRUNSWICK,NJ,8901.0,USA,"1 Robert Wood Johnson Pl, New Brunswick, NJ 08901, USA",Match,GEOMETRIC_CENTER,-74.4500083,40.4951556,,,,,,,2026-03-16,google_geocoding_api
832 BELLA CASA DR|KELLER|TX|76248.0|USA,832 Bella Casa Dr,KELLER,TX,76248.0,USA,"832 Bella Casa Dr, Keller, TX 76248, USA",Match,ROOFTOP,-97.233888,32.9111887,,,,,,,2026-03-16,google_geocoding_api
2281 ARNOLD FARMER WAY|DULUTH|GA|30096.0|USA,2281 Arnold Farmer way,DULUTH,GA,30096.0,USA,"2281 Arnold Palmer Way, Duluth, GA 30096, USA",Match,ROOFTOP,-84.1717528,33.9453819,,,,,,,2026-03-16,google_geocoding_api
"8095 INNOVATION PARK DR, BUILDING D, 5TH FLOOR, HROC|FAIRFAX|VA|22031.0|USA","8095 Innovation Park Dr, Building D, 5th Floor, HROC",Fairfax,VA,22031.0,USA,"8095 Innovation Park Dr building d, 5th floor, Falls Church, VA 22042, USA",Match,ROOFTOP,-77.2239886,38.8610306,,,,,,,2026-03-16,google_geocoding_api
662 LEVERING ST|BLUE BELL|PA|19422.0|USA,662 Levering St,BLUE BELL,PA,19422.0,USA,"662 Levering St, Center Square, PA 19422, USA",Match,ROOFTOP,-75.283228,40.1691532,,,,,,,2026-03-16,google_geocoding_api
14 MAIN AVENUE|CLIFTON|NJ|7014.0|USA,14 Main Avenue,Clifton,NJ,7014.0,USA,"14 Main Ave, Clifton, NJ 07014, USA",Match,ROOFTOP,-74.1429222,40.8293895,,,,,,,2026-03-16,google_geocoding_api
1604 CHRETIEN POINT|MANSFIELD|TX|76063.0|USA,1604 Chretien Point,MANSFIELD,TX,76063.0,USA,"1604 Chretien Point Dr, Mansfield, TX 76063, USA",Match,ROOFTOP,-97.1087494,32.58928849999999,,,,,,,2026-03-16,google_geocoding_api
14557 JEMISON STREET|CELINA|TX|75009.0|USA,14557 Jemison Street,CELINA,TX,75009.0,USA,"14557 Jemison St, Celina, TX 75009, USA",Match,ROOFTOP,-96.8752651,33.2927934,,,,,,,2026-03-16,google_geocoding_api
9912 FREMANTLE AVE LOT 13|LAS VEGAS|NV|89149.0|USA,9912 FREMANTLE AVE LOT 13,Las vegas,NV,89149.0,USA,"9912 Fremantle Ave #13, La Madre Foothills, NV 89149, USA",Match,ROOFTOP,-115.31291,36.267155,,,,,,,2026-03-16,google_geocoding_api
13434 PEONY AVE GARDEN GROVE 92840|GARDEN GROVE|CA|92840.0|USA,13434 Peony Ave GARDEN GROVE 92840,GARDEN GROVE,CA,92840.0,USA,"13434 Peony Ave., Garden Grove, CA 92840, USA",Match,ROOFTOP,-117.8987723,33.7747498,,,,,,,2026-03-16,google_geocoding_api
3869 CONSOLARE CT|WESLEY CHAPEL|FL|33543.0|USA,3869 Consolare Ct,WESLEY CHAPEL,FL,33543.0,USA,"3869 Consolare Ct, Wesley Chapel, FL 33543, USA",Match,ROOFTOP,-82.32460979999999,28.2130122,,,,,,,2026-03-16,google_geocoding_api
458 NEW JERSEY 10|WHIPPANY|NJ|7981.0|USA,458 New Jersey 10,Whippany,NJ,7981.0,USA,"458 NJ-10, Whippany, NJ 07981, USA",Match,ROOFTOP,-74.4094205,40.8217156,,,,,,,2026-03-16,google_geocoding_api
2250 E BROWN ST WYLIE 75098|WYLIE|TX|75098.0|USA,2250 E Brown St Wylie 75098,WYLIE,TX,75098.0,USA,"2250 E Brown St, Wylie, TX 75098, USA",Match,ROOFTOP,-96.5015402,33.0157942,,,,,,,2026-03-16,google_geocoding_api
24000 WEST LUGONIA AVENUE|REDLANDS|CA|92374.0|USA,24000 West Lugonia Avenue,Redlands,CA,92374.0,USA,"24000 W Lugonia Ave, Redlands, CA 92374, USA",Match,GEOMETRIC_CENTER,-117.2209446,34.0711559,,,,,,,2026-03-16,google_geocoding_api
23411 WAGON TRAIL RD|DIAMOND BAR|CA|91765.0|USA,23411 Wagon trail rd,DIAMOND BAR,CA,91765.0,USA,"23411 Wagon Trail Rd, Diamond Bar, CA 91765, USA",Match,ROOFTOP,-117.8088938,34.0122921,,,,,,,2026-03-16,google_geocoding_api
2200 OLYMPUS BOULEVARD 06-6210|DALLAS|TX|75019.0|USA,2200 Olympus Boulevard 06-6210,Dallas,TX,75019.0,USA,"2200 Olympus Blvd 06 6210, Coppell, TX 75019, USA",Match,ROOFTOP,-96.9725898,32.9302535,,,,,,,2026-03-16,google_geocoding_api
201 MANSFIELD COURT|SAGINAW|TX|76179.0|USA,201 Mansfield Court,Saginaw,TX,76179.0,USA,"201 Mansfield Ct, Saginaw, TX 76179, USA",Match,ROOFTOP,-97.3872984,32.8575423,,,,,,,2026-03-16,google_geocoding_api
2525 VIA ALTA|SAN DIEGO|CA|92108.0|USA,2525 Via Alta,San Diego,CA,92108.0,USA,"2525 Via Alta, San Diego, CA 92108, USA",Match,ROOFTOP,-117.1488675,32.7794866,,,,,,,2026-03-16,google_geocoding_api
524 BOULEVARD|GARFIELD|NJ|7026.0|USA,524 Boulevard,GARFIELD,NJ,7026.0,USA,"524 Boulevard, Garfield, NJ 07026, USA",Match,ROOFTOP,-74.1047138,40.8933955,,,,,,,2026-03-16,google_geocoding_api
337 TORRELLI FALLS AVE|HENDERSON|NV|89011.0|USA,337 Torrelli Falls Ave,HENDERSON,NV,89011.0,USA,"337 Torrelli Falls Ave, Henderson, NV 89011, USA",Match,ROOFTOP,-114.9692606,36.0672869,,,,,,,2026-03-16,google_geocoding_api
5663 FATHOM BLUE STREET|LAS VEGAS|NV|89148.0|USA,5663 Fathom Blue Street,Las Vegas,NV,89148.0,USA,"5663 Fathom Blue St, Las Vegas, NV 89148, USA",Match,ROOFTOP,-115.292813,36.08615899999999,,,,,,,2026-03-16,google_geocoding_api
2200 OLYMPUS BOULEVARD APT 18214|DALLAS|TX|75019.0|USA,2200 Olympus Boulevard Apt 18214,Dallas,TX,75019.0,USA,"2200 Olympus Blvd, Coppell, TX 75019, USA",Match,GEOMETRIC_CENTER,-96.9725898,32.9302535,,,,,,,2026-03-16,google_geocoding_api
2200 OLYMPUS BOULEVARD|DALLAS|TX|75019.0|USA,2200 Olympus Boulevard,Dallas,TX,75019.0,USA,"2200 Olympus Blvd, Coppell, TX 75019, USA",Match,GEOMETRIC_CENTER,-96.9725898,32.9302535,,,,,,,2026-03-16,google_geocoding_api
51 ROBERTSON RD WEST ORANGE 07052|WEST ORANGE|NJ|7052.0|USA,51 ROBERTSON RD West Orange 07052,WEST ORANGE,NJ,7052.0,USA,"51 Robertson Rd, West Orange, NJ 07052, USA",Match,ROOFTOP,-74.25559930000001,40.8025423,,,,,,,2026-03-16,google_geocoding_api
166 SHATTUCK ST|BREA|CA|92821.0|USA,166 Shattuck St,BREA,CA,92821.0,USA,"166 Shattuck St, Brea, CA 92821, USA",Match,ROOFTOP,-117.8950994,33.93178350000001,,,,,,,2026-03-16,google_geocoding_api
